X,Y
0,267
1,267
2,267
3,267
4,267
5,267
6,267
7,267
7,266
8,266
9,266
9,265
10,265
11,265
12,265
12,264
13,264
13,263
14,263
15,263
16,263
16,262
16,261
17,261
18,261
19,261
20,261
21,261
22,261
22,260
23,260
23,259
24,259
25,259
26,259
27,259
28,259
29,259
29,258
30,258
31,258
32,258
33,258
34,258
34,257
35,257
35,256
36,256
37,256
38,256
39,256
39,255
40,255
41,255
42,255
43,255
44,255
45,255
45,254
46,254
47,254
48,254
49,254
50,254
51,254
51,253
52,253
53,253
54,253
55,253
56,253
57,253
58,253
58,252
58,251
59,251
60,251
61,251
61,250
62,250
63,250
63,249
64,249
65,249
65,248
66,248
66,247
67,247
68,247
69,247
70,247
70,246
70,245
71,245
72,245
73,245
74,245
75,245
76,245
76,244
77,244
78,244
79,244
80,244
81,244
82,244
83,244
84,244
84,243
85,243
86,243
86,242
86,241
87,241
88,241
88,240
89,240
90,240
90,239
91,239
92,239
93,239
94,239
95,239
95,238
96,238
97,238
98,238
99,238
99,237
100,237
101,237
102,237
103,237
104,237
104,236
104,235
105,235
105,234
106,234
107,234
108,234
108,233
109,233
110,233
110,232
111,232
112,232
112,231
113,231
114,231
114,230
114,229
115,229
116,229
117,229
118,229
119,229
119,228
120,228
121,228
122,228
122,227
123,227
124,227
125,227
126,227
127,227
127,226
128,226
128,225
129,225
130,225
131,225
131,224
132,224
133,224
134,224
135,224
136,224
137,224
138,224
138,223
139,223
140,223
140,222
141,222
142,222
142,221
143,221
143,220
144,220
145,220
146,220
146,219
147,219
148,219
148,218
148,217
149,217
149,216
150,216
151,216
152,216
153,216
154,216
155,216
155,215
156,215
156,214
157,214
158,214
159,214
159,213
160,213
160,212
161,212
162,212
162,211
163,211
164,211
165,211
166,211
166,210
167,210
168,210
169,210
170,210
171,210
172,210
172,209
173,209
173,208
173,207
174,207
174,206
175,206
176,206
177,206
178,206
178,205
179,205
180,205
181,205
182,205
183,205
184,205
184,204
185,204
185,203
186,203
186,202
186,201
187,201
187,200
188,200
189,200
190,200
190,199
190,198
191,198
192,198
193,198
193,197
194,197
195,197
195,196
196,196
197,196
198,196
199,196
200,196
201,196
202,196
203,196
204,196
204,195
204,194
205,194
206,194
207,194
208,194
208,193
209,193
210,193
210,192
211,192
212,192
212,191
213,191
213,190
213,189
214,189
214,188
215,188
216,188
217,188
218,188
219,188
220,188
220,187
221,187
222,187
223,187
224,187
224,186
225,186
225,185
226,185
227,185
227,184
228,184
229,184
230,184
230,183
231,183
232,183
233,183
234,183
235,183
236,183
236,182
237,182
237,181
238,181
239,181
240,181
240,180
241,180
242,180
243,180
243,179
244,179
244,178
245,178
246,178
247,178
247,177
247,176
248,176
248,175
249,175
250,175
251,175
252,175
253,175
254,175
255,175
256,175
257,175
257,174
258,174
258,173
259,173
259,172
260,172
260,171
260,170
261,170
262,170
263,170
264,170
264,169
265,169
266,169
267,169
268,169
269,169
270,169
271,169
271,168
271,167
272,167
273,167
274,167
274,166
275,166
275,165
276,165
277,165
277,164
278,164
279,164
279,163
280,163
280,162
281,162
282,162
282,161
283,161
284,161
285,161
286,161
287,161
288,161
289,161
290,161
291,161
292,161
293,161
294,161
295,161
296,161
297,161
298,161
299,161
300,161
301,161
302,161
303,161
304,161
305,161
305,160
306,160
306,159
307,159
308,159
309,159
310,159
311,159
312,159
313,159
314,159
314,158
315,158
316,158
316,157
317,157
318,157
318,156
319,156
320,156
321,156
321,155
322,155
323,155
324,155
325,155
326,155
327,155
328,155
329,155
329,154
330,154
331,154
332,154
333,154
333,153
334,153
335,153
335,152
335,151
336,151
337,151
338,151
339,151
340,151
341,151
342,151
342,150
342,149
343,149
343,148
344,148
344,147
345,147
346,147
347,147
348,147
349,147
350,147
351,147
351,146
352,146
353,146
354,146
354,145
355,145
356,145
356,144
357,144
358,144
359,144
360,144
361,144
361,143
362,143
362,142
363,142
364,142
365,142
366,142
366,141
367,141
368,141
369,141
370,141
370,140
371,140
372,140
373,140
374,140
375,140
376,140
377,140
378,140
379,140
379,139
380,139
381,139
382,139
383,139
384,139
385,139
386,139
386,138
387,138
388,138
389,138
390,138
391,138
392,138
393,138
394,138
395,138
396,138
397,138
398,138
399,138
399,137
399,136
399,135
399,134
400,134
401,134
402,134
402,133
402,132
403,132
404,132
404,131
405,131
406,131
407,131
408,131
409,131
410,131
411,131
412,131
412,130
412,129
412,128
413,128
414,128
415,128
416,128
417,128
418,128
419,128
420,128
421,128
422,128
423,128
424,128
425,128
425,127
426,127
427,127
428,127
428,126
429,126
430,126
431,126
431,125
432,125
433,125
434,125
434,124
434,123
434,122
435,122
435,121
435,120
436,120
437,120
438,120
439,120
439,119
439,118
440,118
441,118
441,117
442,117
442,116
442,115
443,115
444,115
445,115
446,115
447,115
448,115
449,115
450,115
451,115
452,115
453,115
454,115
454,114
454,113
455,113
456,113
457,113
458,113
458,112
458,111
459,111
459,110
460,110
461,110
462,110
462,109
463,109
463,108
463,107
463,106
464,106
465,106
466,106
467,106
468,106
469,106
469,105
469,104
470,104
471,104
472,104
473,104
474,104
475,104
476,104
477,104
478,104
479,104
480,104
481,104
482,104
483,104
484,104
484,103
484,102
485,102
486,102
487,102
488,102
489,102
490,102
491,102
492,102
493,102
494,102
495,102
496,102
497,102
498,102
499,102
500,102
501,102
502,102
503,102
503,101
504,101
505,101
506,101
507,101
508,101
509,101
510,101
511,101
512,101
513,101
514,101
515,101
516,101
517,101
518,101
519,101
520,101
521,101
522,101
523,101
524,101
525,101
526,101
527,101
528,101
528,100
528,99
529,99
530,99
531,99
532,99
533,99
534,99
535,99
536,99
537,99
538,99
539,99
540,99
541,99
542,99
543,99
544,99
545,99
546,99
547,99
548,99
549,99
550,99
551,99
552,99
553,99
554,99
555,99
556,99
557,99
558,99
558,98
558,97
559,97
560,97
561,97
561,96
561,95
562,95
563,95
564,95
565,95
566,95
567,95
568,95
569,95
570,95
571,95
572,95
573,95
574,95
575,95
576,95
577,95
578,95
579,95
580,95
581,95
582,95
583,95
584,95
585,95
586,95
587,95
588,95
588,94
588,93
588,92
589,92
590,92
591,92
592,92
593,92
594,92
595,92
596,92
597,92
598,92
599,92
600,92
601,92
602,92
603,92
604,92
604,91
604,90
604,89
605,89
606,89
607,89
608,89
609,89
610,89
611,89
612,89
613,89
614,89
615,89
616,89
617,89
618,89
619,89
620,89
621,89
622,89
623,89
624,89
625,89
626,89
627,89
628,89
629,89
630,89
631,89
632,89
633,89
634,89
635,89
636,89
637,89
638,89
639,89
640,89
641,89
642,89
643,89
644,89
645,89
645,88
645,87
645,86
645,85
645,84
645,83
646,83
647,83
648,83
649,83
649,82
649,81
649,80
649,79
649,78
649,77
650,77
651,77
652,77
653,77
653,76
653,75
653,74
653,73
653,72
653,71
654,71
655,71
656,71
656,70
656,69
656,68
656,67
656,66
656,65
656,64
657,64
658,64
659,64
660,64
661,64
662,64
663,64
664,64
665,64
666,64
667,64
668,64
669,64
670,64
671,64
672,64
673,64
674,64
675,64
676,64
677,64
678,64
679,64
680,64
681,64
682,64
683,64
684,64
685,64
686,64
687,64
688,64
689,64
690,64
691,64
692,64
693,64
694,64
695,64
696,64
697,64
698,64
699,64
700,64
701,64
702,64
702,63
702,62
702,61
702,60
702,59
702,58
702,57
702,56
702,55
702,54
702,53
702,52
703,52
704,52
705,52
706,52
707,52
708,52
709,52
710,52
711,52
712,52
713,52
714,52
715,52
716,52
717,52
718,52
719,52
720,52
721,52
722,52
723,52
724,52
725,52
726,52
727,52
728,52
729,52
730,52
731,52
732,52
733,52
734,52
735,52
736,52
737,52
738,52
739,52
740,52
741,52
742,52
743,52
744,52
745,52
746,52
747,52
748,52
749,52
750,52
751,52
752,52
753,52
754,52
755,52
756,52
757,52
758,52
759,52
760,52
761,52
762,52
763,52
764,52
765,52
766,52
767,52
768,52
769,52
770,52
771,52
772,52
773,52
774,52
775,52
776,52
777,52
778,52
779,52
780,52
781,52
782,52
783,52
784,52
785,52
786,52
787,52
788,52
789,52
790,52
791,52
792,52
793,52
794,52
795,52
796,52
797,52
798,52
799,52
800,52
801,52
802,52
803,52
804,52
805,52
806,52
807,52
808,52
809,52
810,52
811,52
812,52
813,52
814,52
815,52
816,52
817,52
818,52
819,52
820,52
821,52
822,52
823,52
824,52
825,52
826,52
827,52
828,52
829,52
830,52
831,52
832,52
833,52
834,52
835,52
836,52
837,52
838,52
839,52
840,52
841,52
842,52
843,52
844,52
845,52
846,52
847,52
848,52
849,52
850,52
851,52
852,52
853,52
854,52
855,52
856,52
857,52
858,52
859,52
860,52
861,52
862,52
863,52
864,52
865,52
866,52
867,52
868,52
869,52
870,52
871,52
872,52
873,52
874,52
875,52
876,52
877,52
878,52
879,52
880,52
881,52
882,52
883,52
884,52
