X,Y
0,267
1,267
2,267
3,267
4,267
5,267
6,267
6,266
7,266
8,266
8,265
9,265
10,265
11,265
11,264
12,264
13,264
13,263
14,263
15,263
15,262
16,262
16,261
17,261
18,261
19,261
19,260
20,260
20,259
21,259
22,259
23,259
24,259
24,258
25,258
26,258
27,258
28,258
29,258
30,258
30,257
31,257
32,257
33,257
33,256
34,256
35,256
36,256
37,256
38,256
38,255
39,255
40,255
41,255
41,254
42,254
42,253
43,253
43,252
43,251
44,251
44,250
45,250
46,250
47,250
48,250
48,249
49,249
49,248
50,248
50,247
51,247
52,247
52,246
53,246
54,246
54,245
55,245
56,245
56,244
56,243
57,243
57,242
58,242
59,242
59,241
60,241
60,240
60,239
61,239
62,239
63,239
63,238
64,238
65,238
65,237
65,236
65,235
66,235
67,235
67,234
67,233
68,233
69,233
70,233
70,232
71,232
72,232
73,232
74,232
75,232
75,231
75,230
75,229
76,229
77,229
77,228
78,228
79,228
80,228
81,228
81,227
81,226
82,226
82,225
82,224
83,224
83,223
84,223
84,222
85,222
85,221
86,221
87,221
87,220
88,220
88,219
89,219
90,219
90,218
91,218
91,217
92,217
93,217
93,216
93,215
94,215
95,215
95,214
95,213
96,213
96,212
97,212
97,211
97,210
98,210
99,210
100,210
100,209
100,208
101,208
102,208
102,207
102,206
103,206
104,206
105,206
105,205
105,204
106,204
107,204
107,203
108,203
108,202
109,202
110,202
111,202
112,202
113,202
114,202
114,201
114,200
114,199
115,199
116,199
116,198
117,198
118,198
119,198
120,198
120,197
121,197
122,197
122,196
122,195
122,194
123,194
124,194
125,194
125,193
125,192
126,192
127,192
128,192
128,191
128,190
128,189
129,189
129,188
129,187
130,187
130,186
130,185
131,185
131,184
132,184
133,184
134,184
134,183
134,182
134,181
134,180
135,180
136,180
136,179
137,179
138,179
138,178
138,177
138,176
138,175
139,175
140,175
141,175
142,175
142,174
143,174
144,174
144,173
145,173
146,173
146,172
147,172
148,172
148,171
148,170
149,170
150,170
150,169
150,168
150,167
150,166
151,166
152,166
153,166
154,166
154,165
155,165
156,165
157,165
158,165
159,165
159,164
159,163
160,163
160,162
160,161
161,161
162,161
162,160
162,159
163,159
164,159
165,159
166,159
166,158
166,157
167,157
167,156
168,156
169,156
170,156
171,156
171,155
172,155
172,154
173,154
173,153
174,153
175,153
176,153
177,153
177,152
178,152
179,152
179,151
180,151
181,150
182,150
182,149
183,149
184,149
184,148
185,148
186,148
186,147
186,146
186,145
187,145
187,144
187,143
188,143
189,143
189,142
190,142
191,142
192,142
192,141
193,141
194,141
195,141
196,141
196,140
196,139
197,139
198,139
198,138
199,138
200,138
201,138
202,138
203,138
204,138
205,138
205,137
205,136
205,135
206,135
207,135
207,134
207,133
208,133
208,132
209,132
210,132
211,132
211,131
212,131
213,131
213,130
214,130
215,130
215,129
216,129
217,129
217,128
217,127
217,126
218,126
219,126
219,125
220,125
220,124
221,124
222,124
223,124
224,124
224,123
224,122
225,122
226,122
227,122
227,121
228,121
228,120
228,119
229,119
230,119
231,119
232,119
233,119
233,118
234,118
234,117
234,116
235,116
235,115
236,115
236,114
237,114
238,114
238,113
238,112
238,111
239,111
240,111
241,111
242,111
243,111
243,110
244,110
244,109
244,108
244,107
245,107
245,106
246,106
247,106
248,106
248,105
249,105
250,105
251,105
252,105
253,105
254,105
255,105
256,105
256,104
256,103
257,103
258,103
259,103
259,102
259,101
260,101
261,101
261,100
262,100
263,100
264,100
264,99
265,99
266,99
267,99
268,99
269,99
269,98
270,98
270,97
270,96
271,96
272,96
273,96
274,96
274,95
275,95
275,94
276,94
277,94
277,93
278,93
278,92
279,92
279,91
280,91
281,91
282,91
283,91
284,91
284,90
284,89
285,89
286,89
287,89
287,88
288,88
289,88
289,87
290,87
291,87
292,87
293,87
294,87
294,86
295,86
296,86
297,86
297,85
297,84
298,84
298,83
299,83
299,82
300,82
301,82
302,82
303,82
304,82
305,82
306,82
306,81
307,81
307,80
308,79
309,79
310,79
311,79
312,79
312,78
313,78
314,78
315,78
316,78
317,78
317,77
318,77
319,77
320,77
321,77
321,76
322,76
322,75
323,75
324,75
325,75
326,75
327,75
327,74
327,73
328,72
329,72
329,71
329,70
330,70
330,69
330,68
331,68
332,68
332,67
333,67
334,67
335,66
335,65
336,65
336,64
337,64
338,63
339,63
340,63
341,63
341,62
342,62
343,62
344,62
345,62
346,62
346,61
347,61
348,61
349,61
349,60
349,59
350,59
351,59
352,59
353,59
353,58
354,58
355,58
356,58
357,58
358,58
358,57
359,57
360,57
360,56
361,56
362,56
363,56
364,56
365,56
366,56
367,56
368,56
369,56
369,55
369,54
370,54
371,54
372,54
373,54
374,54
375,54
375,53
375,52
376,52
377,52
377,51
377,50
378,50
379,50
379,49
379,48
380,48
381,48
382,48
382,47
383,47
384,47
385,47
385,46
386,46
387,46
388,46
389,46
390,46
391,46
392,46
393,46
394,46
395,46
395,45
396,45
397,45
398,45
398,44
399,44
400,44
401,44
402,44
403,44
404,44
405,44
406,44
407,44
407,43
408,43
409,43
410,43
411,43
412,43
413,43
414,43
415,43
415,42
416,42
416,41
417,41
418,41
418,40
419,40
420,40
421,40
422,40
423,40
424,40
424,39
425,39
426,39
427,39
428,39
429,39
429,38
430,38
431,38
432,38
433,38
434,38
435,38
436,38
436,37
437,37
438,37
439,37
440,37
441,37
442,37
443,37
444,37
445,37
446,37
447,37
448,37
449,37
450,37
450,36
451,36
452,36
453,36
454,36
455,36
456,36
456,35
457,35
458,35
459,35
460,35
461,35
462,35
463,35
464,35
465,35
466,35
467,35
468,35
469,35
470,35
471,35
472,35
472,34
472,33
473,33
474,33
475,33
475,32
475,31
476,31
477,31
477,30
477,29
478,29
479,29
480,29
481,29
482,29
483,29
484,29
485,29
486,29
487,29
488,29
489,29
490,29
491,29
492,29
492,28
492,27
493,27
494,27
495,27
496,27
497,27
498,27
499,27
500,27
501,27
502,27
503,27
503,26
504,26
505,26
506,26
507,26
508,26
509,26
510,26
511,26
511,25
511,24
511,23
512,23
513,23
514,23
515,23
516,23
517,23
517,22
517,21
518,21
518,20
519,20
520,20
521,20
522,20
523,20
524,20
525,20
526,20
527,20
528,20
529,20
530,20
531,20
532,20
533,20
534,20
535,20
536,20
537,20
538,20
539,20
540,20
541,20
542,20
543,20
544,20
545,20
546,20
547,20
548,20
549,20
550,20
551,20
552,20
553,20
554,20
555,20
556,20
557,20
558,20
559,20
560,20
561,20
562,20
562,19
562,18
563,18
564,18
565,18
566,18
567,18
568,18
569,18
570,18
571,18
572,18
572,17
572,16
572,15
573,15
573,14
573,13
574,13
575,13
576,13
577,13
578,13
579,13
580,13
581,13
582,13
583,13
584,13
585,13
586,13
587,13
588,13
589,13
590,13
591,13
591,12
591,11
591,10
592,10
593,10
594,10
595,10
596,10
597,10
598,10
599,10
600,10
601,10
602,10
603,10
604,10
605,10
606,10
607,10
608,10
609,10
610,10
611,10
612,10
613,10
614,10
615,10
616,10
617,10
618,10
619,10
620,10
621,10
622,10
623,10
624,10
625,10
626,10
627,10
628,10
629,10
630,10
631,10
632,10
633,10
634,10
635,10
636,10
637,10
638,10
639,10
640,10
641,10
642,10
643,10
644,10
645,10
646,10
646,9
646,8
646,7
646,6
646,5
646,4
647,4
648,4
649,4
650,4
651,4
652,4
653,4
654,4
655,4
656,4
657,4
658,4
659,4
660,4
661,4
662,4
663,4
664,4
665,4
666,4
667,4
668,4
669,4
670,4
671,4
672,4
673,4
674,4
675,4
676,4
677,4
678,4
679,4
680,4
681,4
682,4
683,4
684,4
685,4
686,4
687,4
688,4
689,4
690,4
691,4
692,4
693,4
694,4
695,4
696,4
697,4
698,4
699,4
700,4
701,4
702,4
703,4
704,4
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,4
713,4
714,4
715,4
716,4
717,4
718,4
719,4
720,4
721,4
722,4
723,4
724,4
725,4
726,4
727,4
728,4
729,4
730,4
731,4
732,4
733,4
734,4
735,4
736,4
737,4
738,4
739,4
740,4
741,4
742,4
743,4
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,4
760,4
761,4
762,4
763,4
764,4
765,4
766,4
767,4
768,4
769,4
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,4
780,4
781,4
782,4
783,4
784,4
785,4
786,4
787,4
788,4
789,4
790,4
791,4
792,4
793,4
794,4
795,4
796,4
797,4
798,4
799,4
800,4
801,4
802,4
803,4
804,4
805,4
806,4
807,4
808,4
809,4
810,4
811,4
812,4
813,4
814,4
815,4
816,4
817,4
818,4
819,4
820,4
821,4
822,4
823,4
824,4
825,4
826,4
827,4
828,4
829,4
830,4
831,4
832,4
833,4
834,4
835,4
836,4
837,4
838,4
839,4
840,4
841,4
842,4
843,4
844,4
845,4
846,4
847,4
848,4
849,4
850,4
851,4
852,4
853,4
854,4
855,4
856,4
857,4
