X,Y
2,3
3,3
5,3
27,13
31,13
35,14
43,17
60,32
72,26
83,46
114,41
120,43
121,73
122,44
125,78
132,46
165,112
231,88
303,110
370,216
374,131
375,131
377,220
380,132
380,223
381,132
383,132
384,132
385,132
387,132
388,132
389,224
390,132
390,224
391,132
391,224
392,132
392,224
393,132
393,225
395,132
395,225
396,132
397,134
399,136
401,136
401,226
402,137
402,226
403,137
403,226
404,137
404,226
405,139
406,139
407,226
408,140
409,140
410,140
411,227
412,143
413,143
414,143
414,227
415,143
415,229
416,229
417,143
417,230
418,143
419,143
420,230
421,230
423,144
423,230
424,144
424,230
425,145
425,231
426,145
428,145
428,231
429,232
433,232
434,146
435,148
437,233
439,153
440,233
441,153
441,233
442,154
442,233
445,155
446,233
447,155
447,233
449,155
450,155
451,155
451,234
452,155
453,155
454,155
455,156
456,156
457,156
457,234
459,236
460,236
461,161
461,236
462,161
462,236
463,162
464,162
465,162
466,165
468,236
469,165
470,166
471,166
472,237
474,167
475,238
476,167
477,239
478,167
478,239
479,167
479,239
480,241
482,167
483,167
484,242
486,168
486,242
487,168
488,168
490,168
490,242
491,242
495,168
496,168
498,243
499,168
500,243
501,168
502,243
506,170
507,170
507,245
510,170
510,245
511,170
512,170
513,170
514,170
514,248
516,170
517,249
518,170
519,170
519,251
520,170
520,251
521,170
521,251
523,170
524,251
525,170
525,251
526,170
526,251
527,170
528,170
528,251
530,172
530,251
531,172
534,172
534,251
535,172
535,251
537,172
537,251
538,172
538,251
542,172
548,172
548,251
549,172
549,251
550,172
551,172
551,251
553,172
553,251
554,172
555,251
557,172
561,174
561,253
562,174
562,253
563,174
564,176
564,253
567,253
568,176
568,253
570,253
572,176
572,253
573,255
574,176
575,176
576,176
577,176
578,176
578,258
583,176
583,258
584,176
585,176
586,176
586,258
587,176
589,179
590,258
592,179
594,179
594,261
596,261
597,261
598,261
599,179
599,261
600,261
601,179
602,179
603,261
605,182
606,182
607,182
608,182
609,182
610,182
611,182
615,182
615,261
617,182
619,182
623,182
624,182
626,182
629,182
629,261
633,182
635,182
636,261
638,261
639,182
639,261
642,182
642,261
643,182
647,188
653,197
659,206
660,206
664,206
679,206
689,206
695,206
697,206
698,206
700,206
719,219
720,219
721,219
729,219
734,219
753,219
756,219
759,219
779,219
784,219
881,219
