X,Y
14,12
15,12
17,12
39,22
43,22
47,23
55,26
72,41
84,35
95,55
126,50
132,52
133,82
134,53
137,87
144,55
177,121
243,97
315,119
382,225
386,140
387,140
389,229
392,141
392,232
393,141
395,141
396,141
397,141
399,141
400,141
401,233
402,141
402,233
403,141
403,233
404,141
404,233
405,141
405,234
407,141
407,234
408,141
409,143
411,145
413,145
413,235
414,146
414,235
415,146
415,235
416,146
416,235
417,148
418,148
419,235
420,149
421,149
422,149
423,236
424,152
425,152
426,152
426,236
427,152
427,238
428,238
429,152
429,239
430,152
431,152
432,239
433,239
435,153
435,239
436,153
436,239
437,154
437,240
438,154
440,154
440,240
441,241
445,241
446,155
447,157
449,242
451,162
452,242
453,162
453,242
454,163
454,242
457,164
458,242
459,164
459,242
461,164
462,164
463,164
463,243
464,164
465,164
466,164
467,165
468,165
469,165
469,243
471,245
472,245
473,170
473,245
474,170
474,245
475,171
476,171
477,171
478,174
480,245
481,174
482,175
483,175
484,246
486,176
487,247
488,176
489,248
490,176
490,248
491,176
491,248
492,250
494,176
495,176
496,251
498,177
498,251
499,177
500,177
502,177
502,251
503,251
507,177
508,177
510,252
511,177
512,252
513,177
514,252
518,179
519,179
519,254
522,179
522,254
523,179
524,179
525,179
526,179
526,257
528,179
529,258
530,179
531,179
531,260
532,179
532,260
533,179
533,260
535,179
536,260
537,179
537,260
538,179
538,260
539,179
540,179
540,260
542,181
542,260
543,181
546,181
546,260
547,181
547,260
549,181
549,260
550,181
550,260
554,181
560,181
560,260
561,181
561,260
562,181
563,181
563,260
565,181
565,260
566,181
567,260
569,181
573,183
573,262
574,183
574,262
575,183
576,185
576,262
579,262
580,185
580,262
582,262
584,185
584,262
585,264
586,185
587,185
588,185
589,185
590,185
590,267
595,185
595,267
596,185
597,185
598,185
598,267
599,185
601,188
602,267
604,188
606,188
606,270
608,270
609,270
610,270
611,188
611,270
612,270
613,188
614,188
615,270
617,191
618,191
619,191
620,191
621,191
622,191
623,191
627,191
627,270
629,191
631,191
635,191
636,191
638,191
641,191
641,270
645,191
647,191
648,270
650,270
651,191
651,270
654,191
654,270
655,191
659,197
665,206
671,215
672,215
676,215
682,276
686,276
691,215
699,276
701,215
703,276
704,276
707,215
709,215
710,215
712,215
713,276
731,228
732,228
733,228
735,276
736,276
740,276
741,228
746,228
747,276
765,228
768,228
771,228
791,228
792,276
793,276
794,276
796,228
843,276
866,276
893,228
